,alpha-2,alpha-3,name,iso_country,iata_code
0,AF,AFG,Afghanistan,AF,KHT
1,AF,AFG,Afghanistan,AF,URZ
2,AF,AFG,Afghanistan,AF,OLR
3,AF,AFG,Afghanistan,AF,DWR
4,AF,AFG,Afghanistan,AF,GZI
5,AF,AFG,Afghanistan,AF,OAA
6,AF,AFG,Afghanistan,AF,BIN
7,AF,AFG,Afghanistan,AF,BST
8,AF,AFG,Afghanistan,AF,CCN
9,AF,AFG,Afghanistan,AF,SBF
10,AF,AFG,Afghanistan,AF,DAZ
11,AF,AFG,Afghanistan,AF,FAH
12,AF,AFG,Afghanistan,AF,FBD
13,AF,AFG,Afghanistan,AF,GRG
14,AF,AFG,Afghanistan,AF,KWH
15,AF,AFG,Afghanistan,AF,HEA
16,AF,AFG,Afghanistan,AF,OAI
17,AF,AFG,Afghanistan,AF,JAA
18,AF,AFG,Afghanistan,AF,KBL
19,AF,AFG,Afghanistan,AF,KDH
20,AF,AFG,Afghanistan,AF,MMZ
21,AF,AFG,Afghanistan,AF,MZR
22,AF,AFG,Afghanistan,AF,URN
23,AF,AFG,Afghanistan,AF,LQN
24,AF,AFG,Afghanistan,AF,KUR
25,AF,AFG,Afghanistan,AF,OAS
26,AF,AFG,Afghanistan,AF,OAH
27,AF,AFG,Afghanistan,AF,SGA
28,AF,AFG,Afghanistan,AF,TII
29,AF,AFG,Afghanistan,AF,TQN
30,AF,AFG,Afghanistan,AF,UND
31,AF,AFG,Afghanistan,AF,OAZ
32,AF,AFG,Afghanistan,AF,ZAJ
33,AL,ALB,Albania,AL,KFZ
34,AL,ALB,Albania,AL,TIA
35,DZ,DZA,Algeria,DZ,MQV
36,DZ,DZA,Algeria,DZ,QLD
37,DZ,DZA,Algeria,DZ,BUJ
38,DZ,DZA,Algeria,DZ,BJA
39,DZ,DZA,Algeria,DZ,ALG
40,DZ,DZA,Algeria,DZ,DJG
41,DZ,DZA,Algeria,DZ,VVZ
42,DZ,DZA,Algeria,DZ,QSF
43,DZ,DZA,Algeria,DZ,TMR
44,DZ,DZA,Algeria,DZ,GJL
45,DZ,DZA,Algeria,DZ,MZW
46,DZ,DZA,Algeria,DZ,AAE
47,DZ,DZA,Algeria,DZ,CZL
48,DZ,DZA,Algeria,DZ,QMH
49,DZ,DZA,Algeria,DZ,TEE
50,DZ,DZA,Algeria,DZ,BLJ
51,DZ,DZA,Algeria,DZ,HRM
52,DZ,DZA,Algeria,DZ,QDJ
53,DZ,DZA,Algeria,DZ,TID
54,DZ,DZA,Algeria,DZ,TIN
55,DZ,DZA,Algeria,DZ,CFK
56,DZ,DZA,Algeria,DZ,TAF
57,DZ,DZA,Algeria,DZ,TLM
58,DZ,DZA,Algeria,DZ,ORN
59,DZ,DZA,Algeria,DZ,CBH
60,DZ,DZA,Algeria,DZ,BFW
61,DZ,DZA,Algeria,DZ,MUW
62,DZ,DZA,Algeria,DZ,EBH
63,DZ,DZA,Algeria,DZ,INF
64,DZ,DZA,Algeria,DZ,BMW
65,DZ,DZA,Algeria,DZ,AZR
66,DZ,DZA,Algeria,DZ,BSK
67,DZ,DZA,Algeria,DZ,ELG
68,DZ,DZA,Algeria,DZ,GHA
69,DZ,DZA,Algeria,DZ,HME
70,DZ,DZA,Algeria,DZ,INZ
71,DZ,DZA,Algeria,DZ,TGR
72,DZ,DZA,Algeria,DZ,LOO
73,DZ,DZA,Algeria,DZ,ELU
74,DZ,DZA,Algeria,DZ,TMX
75,DZ,DZA,Algeria,DZ,OGX
76,DZ,DZA,Algeria,DZ,IAM
77,AS,ASM,American Samoa,AS,OFU
78,AS,ASM,American Samoa,AS,FTI
79,AS,ASM,American Samoa,AS,PPG
80,AO,AGO,Angola,AO,CTV
81,AO,AGO,Angola,AO,ANL
82,AO,AGO,Angola,AO,CNZ
83,AO,AGO,Angola,AO,DRC
84,AO,AGO,Angola,AO,KNP
85,AO,AGO,Angola,AO,NDF
86,AO,AGO,Angola,AO,AZZ
87,AO,AGO,Angola,AO,SSY
88,AO,AGO,Angola,AO,BUG
89,AO,AGO,Angola,AO,GGC
90,AO,AGO,Angola,AO,CAB
91,AO,AGO,Angola,AO,CFF
92,AO,AGO,Angola,AO,PGI
93,AO,AGO,Angola,AO,CBT
94,AO,AGO,Angola,AO,CTI
95,AO,AGO,Angola,AO,CXM
96,AO,AGO,Angola,AO,CAV
97,AO,AGO,Angola,AO,DUE
98,AO,AGO,Angola,AO,VPE
99,AO,AGO,Angola,AO,NOV
100,AO,AGO,Angola,AO,SVP
101,AO,AGO,Angola,AO,LLT
102,AO,AGO,Angola,AO,LBZ
103,AO,AGO,Angola,AO,LAD
104,AO,AGO,Angola,AO,LZM
105,AO,AGO,Angola,AO,MEG
106,AO,AGO,Angola,AO,SPP
107,AO,AGO,Angola,AO,MSZ
108,AO,AGO,Angola,AO,GXG
109,AO,AGO,Angola,AO,PBN
110,AO,AGO,Angola,AO,VHC
111,AO,AGO,Angola,AO,SZA
112,AO,AGO,Angola,AO,NDD
113,AO,AGO,Angola,AO,UAL
114,AO,AGO,Angola,AO,SDD
115,AO,AGO,Angola,AO,LUO
116,AO,AGO,Angola,AO,UGO
117,AO,AGO,Angola,AO,CEO
118,AO,AGO,Angola,AO,XGN
119,AO,AGO,Angola,AO,ARZ
120,AO,AGO,Angola,AO,NZA
121,AO,AGO,Angola,AO,JMB
122,AO,AGO,Angola,AO,NBJ
123,AI,AIA,Anguilla,AI,AXA
124,AQ,ATA,Antarctica,AQ,QET
125,AQ,ATA,Antarctica,AQ,UGL
126,AQ,ATA,Antarctica,AQ,TNM
127,AG,ATG,Antigua and Barbuda,AG,ANU
128,AG,ATG,Antigua and Barbuda,AG,BBQ
129,AR,ARG,Argentina,AR,QRF
130,AR,ARG,Argentina,AR,CVI
131,AR,ARG,Argentina,AR,CNT
132,AR,ARG,Argentina,AR,VGS
133,AR,ARG,Argentina,AR,LMD
134,AR,ARG,Argentina,AR,VCF
135,AR,ARG,Argentina,AR,NCJ
136,AR,ARG,Argentina,AR,CPG
137,AR,ARG,Argentina,AR,PRQ
138,AR,ARG,Argentina,AR,OLN
139,AR,ARG,Argentina,AR,LCP
140,AR,ARG,Argentina,AR,MJR
141,AR,ARG,Argentina,AR,COC
142,AR,ARG,Argentina,AR,GHU
143,AR,ARG,Argentina,AR,PRA
144,AR,ARG,Argentina,AR,ROS
145,AR,ARG,Argentina,AR,SFN
146,AR,ARG,Argentina,AR,AEP
147,AR,ARG,Argentina,AR,LCM
148,AR,ARG,Argentina,AR,COR
149,AR,ARG,Argentina,AR,LPG
150,AR,ARG,Argentina,AR,EPA
151,AR,ARG,Argentina,AR,EZE
152,AR,ARG,Argentina,AR,RAF
153,AR,ARG,Argentina,AR,HOS
154,AR,ARG,Argentina,AR,CVH
155,AR,ARG,Argentina,AR,GNR
156,AR,ARG,Argentina,AR,RDS
157,AR,ARG,Argentina,AR,APZ
158,AR,ARG,Argentina,AR,MDZ
159,AR,ARG,Argentina,AR,LGS
160,AR,ARG,Argentina,AR,AFA
161,AR,ARG,Argentina,AR,CTC
162,AR,ARG,Argentina,AR,SDE
163,AR,ARG,Argentina,AR,IRJ
164,AR,ARG,Argentina,AR,RHD
165,AR,ARG,Argentina,AR,TUC
166,AR,ARG,Argentina,AR,UAQ
167,AR,ARG,Argentina,AR,CRR
168,AR,ARG,Argentina,AR,RCU
169,AR,ARG,Argentina,AR,VDR
170,AR,ARG,Argentina,AR,VME
171,AR,ARG,Argentina,AR,RLO
172,AR,ARG,Argentina,AR,LUQ
173,AR,ARG,Argentina,AR,CNQ
174,AR,ARG,Argentina,AR,RES
175,AR,ARG,Argentina,AR,FMA
